Kepler_ID,Teff,kepmag,Log_G
1432681,5705,16.612,4.639
1432682,5712,16.469,4.321
1432695,5864,16.775,5.006
1432724,5845,16.841,4.535
1432767,5785,16.141,4.233
1432788,5790,16.141,4.716
1432789,5648,15.214,4.649
1432799,5786,16.733,4.496
1432842,5661,16.616,4.536
1432865,5732,14.781,4.712
1432907,5875,14.361,4.481
1433011,5632,16.836,5.106
1433017,5844,16.325,4.278
1433018,5718,16.356,4.357
1433063,5825,16.023,4.291
1433153,5840,16.083,4.460
1433179,5691,16.493,4.467
1433479,5711,16.294,4.520
1433498,5750,15.486,4.517
1433554,5660,16.716,4.354
1433610,5876,16.196,4.507
1433692,5793,16.053,4.579
1433742,5876,16.863,4.358
1433819,5744,16.127,4.375
1433828,5816,16.828,4.390
1433889,5851,16.674,4.371
1433898,5860,16.783,4.431
1433913,5917,16.018,4.301
1434084,5892,16.488,4.434
1434134,5879,16.044,4.373
1434311,5773,16.998,4.505
1434481,5834,16.993,4.426
1434706,5807,15.982,4.466
1434805,5879,16.836,4.517
1435122,5725,15.890,4.207
1435154,5686,16.700,4.633
1435173,5874,16.936,4.395
1435238,5884,16.772,4.750
1435351,5694,15.637,4.223
1435365,5907,15.879,4.224
1435472,5907,16.220,4.527
1435523,5716,16.569,4.603
1435564,5843,16.523,4.413
1435594,5708,16.741,4.565
1435610,5784,16.908,4.877
1435745,5829,16.478,4.210
1435754,5693,15.867,4.502
1435818,5885,15.835,4.680
1436132,5725,15.993,4.963
1569599,5802,15.918,4.701
1569761,5672,16.976,4.516
1569777,5697,15.899,4.485
1569784,5675,15.705,4.395
1569785,5926,16.697,4.541
1569800,5652,16.498,4.927
1569801,5882,16.865,4.373
1569807,5870,16.728,4.239
1569832,5666,15.009,4.334
1569843,5906,14.409,4.451
1569921,5709,15.877,4.304
1569949,5705,16.023,4.602
1569974,5677,14.903,4.362
1569983,5712,15.507,4.620
1569994,5896,16.882,4.341
1570129,5823,16.535,4.479
1570172,5910,14.688,4.445
1570270,5784,13.857,4.246
1570282,5763,16.469,4.316
1570336,5868,16.814,4.618
1570349,5639,14.184,4.642
1570354,5628,16.893,4.527
1570400,5809,14.771,4.369
1570466,5715,14.353,4.302
1570575,5876,16.712,4.632
1570583,5641,16.633,4.476
1570610,5704,16.706,4.333
1570674,5772,16.095,4.237
1570703,5888,15.688,4.632
1570732,5805,16.900,4.345
1570872,5690,16.998,4.334
1570949,5871,16.542,4.380
1571023,5869,16.957,4.579
1571065,5724,16.821,4.336
1571113,5858,16.239,4.289
1571117,5712,16.687,4.542
1571192,5902,16.536,4.370
1571224,5809,16.914,4.467
1571287,5845,16.152,4.357
1571365,5650,16.776,4.262
1571387,5865,16.954,4.451
1571390,5917,16.401,4.292
1571511,5804,13.424,4.406
1571796,5788,16.793,4.335
1571834,5719,16.839,4.433
1571957,5801,16.434,4.343
1571997,5628,16.149,4.639
1572017,5803,16.214,4.241
1572035,5682,16.128,4.519
1572088,5790,16.457,4.407
1572097,5760,16.296,4.486
1572120,5753,15.345,4.295
1572222,5732,15.838,4.700
1572377,5731,16.399,4.606
1572611,5676,16.343,4.407
1572910,5902,15.741,4.637
1572919,5800,16.461,4.397
1572993,5667,16.800,4.248
1573162,5778,16.235,4.446
1573242,5781,15.913,4.229
1573297,5835,16.662,4.473
1573305,5788,15.572,4.447
1573310,5781,16.141,4.375
1573336,5828,16.922,4.510
1573363,5802,16.874,4.395
1573364,5920,16.265,4.454
1573498,5680,16.316,4.370
1573529,5716,16.499,4.708
1573588,5726,16.235,4.475
1573671,5712,15.929,4.256
1573677,5794,16.981,4.415
1573717,5644,16.521,4.361
1573730,5787,16.438,4.476
1573755,5709,16.351,4.467
1573789,5914,16.939,4.386
1573818,5708,16.498,4.268
1573954,5864,14.839,4.601
1574008,5703,16.584,4.205
1574076,5775,16.314,4.590
1574181,5881,16.691,4.245
1574193,5693,16.194,4.346
1574204,5750,16.552,4.373
1574366,5731,16.742,4.278
1574384,5825,16.802,4.417
1574485,5866,16.870,4.497
1574502,5692,16.433,4.323
1574655,5787,16.723,4.303
1574739,5731,16.192,4.455
1574745,5713,16.915,4.285
1574789,5646,15.687,4.271
1574791,5684,16.668,4.337
1575008,5731,16.136,4.463
1575134,5813,16.807,4.506
1575207,5730,16.752,4.468
1575394,5926,16.946,4.334
1575423,5846,16.698,4.315
1575653,5854,16.930,4.276
1575881,5731,16.410,4.594
1576042,5700,16.814,4.437
1576161,5725,16.727,4.291
1576172,5767,16.659,4.645
1576181,5737,15.665,4.201
1576228,5779,16.968,4.920
1576319,5740,16.560,4.681
1576334,5761,16.940,4.772
1576467,5725,16.877,4.380
1576544,5830,16.736,4.388
1576638,5700,16.986,4.478
1576704,5728,15.969,4.704
1576739,5740,15.903,4.642
1576743,5692,16.747,4.872
1576809,5781,15.508,4.392
1576846,5693,16.672,4.523
1576877,5785,15.694,4.689
1576928,5839,16.529,4.315
1576959,5846,16.872,4.320
1577075,5795,16.572,4.547
1577091,5810,15.647,4.434
1577093,5670,16.440,4.656
1577127,5853,16.412,4.547
1577162,5889,16.927,4.607
1577170,5670,15.382,4.411
1577189,5907,15.532,4.231
1577205,5837,16.938,4.347
1577227,5913,15.858,4.396
1577286,5820,16.178,4.654
1577290,5648,16.132,4.702
1577418,5679,15.240,4.207
1577445,5732,16.456,4.365
1577462,5787,16.963,4.771
1577518,5777,16.976,4.695
1577550,5662,16.281,4.260
1577627,5665,16.221,4.403
1577641,5641,16.290,4.326
1577705,5657,16.417,4.206
1577917,5633,15.143,4.325
1577935,5677,16.184,4.210
1577962,5668,16.689,4.470
1578012,5901,14.752,4.339
1578053,5833,16.443,4.456
1578298,5778,16.477,4.629
1701656,5672,15.562,5.081
1701678,5709,15.288,4.888
1701714,5886,14.855,4.681
1701791,5668,16.550,4.373
1701801,5671,15.585,4.493
1717058,5814,16.245,4.461
1717297,5718,16.726,4.369
1717390,5896,14.628,4.334
1717528,5747,14.574,4.513
1717529,5735,16.791,4.371
1717532,5712,16.423,4.344
1717555,5718,16.083,4.478
1717592,5815,16.173,4.637
1717667,5834,16.928,4.295
1717710,5690,16.970,4.726
1717727,5689,16.310,4.319
1717735,5637,16.433,4.463
1717797,5806,14.379,4.373
1717880,5786,16.956,4.321
1717899,5743,16.495,4.523
1717900,5647,16.615,4.454
1717931,5676,16.778,4.421
1717980,5698,16.455,4.524
1717985,5675,16.402,4.515
1717993,5676,16.226,4.352
1718019,5872,16.505,4.535
1718132,5696,16.413,4.291
1718318,5868,16.105,4.545
1718356,5921,16.262,4.371
1718362,5640,16.578,4.522
1718373,5680,14.591,4.425
1718397,5782,15.548,4.493
1718423,5928,14.873,4.420
1718447,5887,16.575,4.485
1718456,5651,14.705,4.411
1718466,5759,15.059,4.244
1718472,5741,16.958,4.395
1718497,5890,16.544,4.410
1718529,5656,16.109,4.528
1718534,5710,16.671,4.479
1718538,5662,16.912,4.486
1718555,5916,16.733,4.313
1718600,5869,16.350,4.304
1718754,5631,16.601,4.351
1718883,5659,16.930,4.612
1718914,5851,16.251,4.338
1718944,5693,16.929,4.428
1718985,5640,14.593,4.328
1719105,5718,15.949,4.560
1719175,5734,16.412,4.308
1719263,5782,15.201,4.265
1719324,5746,16.728,4.249
1719373,5824,15.763,4.297
1719389,5918,16.897,4.333
1719406,5856,16.508,4.218
1719543,5920,16.154,4.213
1719559,5668,16.703,4.309
1719572,5649,16.778,4.402
1719593,5928,16.624,4.203
1719637,5742,16.696,4.233
1719882,5788,16.782,4.294
1719927,5845,14.853,4.348
1719930,5639,16.824,4.298
1719991,5756,16.374,4.286
1720157,5649,16.866,4.278
1720246,5896,16.920,4.295
1720785,5845,15.451,4.522
1720825,5902,16.292,4.214
